UTC +8 (CST, China Standard Time);
UTC +8 (HKT, Hong Kong Time);
UTC +8 (HOVST, Hovd Summer Time);
UTC +8 (IRKT, Irkutsk Time);
UTC +8 (KRAST, Krasnoyarsk Summer Time);
UTC +8 (MYT, Malaysia Time);
UTC +8 (PHT, Philippine Time);
UTC +8 (SGT, Singapore Time);
UTC +8 (ULAT, Ulaanbaatar Time);
UTC +8 (WITA, Central Indonesian Time);
UTC +8:30 (PYT, Pyongyang Time);
UTC +8:45 (ACWST, Australian Central Western Standard Time);
UTC +9 (AWDT, Australian Western Daylight Time);
UTC +9 (CHOST, Choibalsan Summer Time);
UTC +9 (IRKST, Irkutsk Summer Time);
UTC +9 (JST, Japan Standard Time);
UTC +9 (KST, Korea Standard Time);
UTC +9 (PWT, Palau Time);
UTC +9 (TLT, East Timor Time);
UTC +9 (ULAST, Ulaanbaatar Summer Time);
UTC +9 (WIT, Eastern Indonesian Time);
UTC +9 (YAKT, Yakutsk Time);
UTC +9:30 (ACST, Australian Central Standard Time);
UTC +9:30 / +10:30 (ACT, Australian Central Time);
UTC +10 (AEST, Australian Eastern Standard Time);
UTC +10 (ChST, Chamorro Standard Time);
UTC +10 (CHUT, Chuuk Time);
UTC +10 (DDUT, Dumont-d'Urville Time);
UTC +10 (PGT, Papua New Guinea Time);
UTC +10 (VLAT, Vladivostok Time);
UTC +10 (YAKST, Yakutsk Summer Time);
UTC +10 (YAPT, Yap Time);
UTC +10:00 / +11:00 (AET, Australian Eastern Time);
UTC +10:30 (ACDT, Australian Central Daylight Time);
UTC +10:30 (LHST, Lord Howe Standard Time);
UTC +11 (AEDT, Australian Eastern Daylight Time);
UTC +11 (BST, Bougainville Standard Time);
UTC +11 (KOST, Kosrae Time);
UTC +11 (LHDT, Lord Howe Daylight Time);
UTC +11 (MAGT, Magadan Time);
UTC +11 (NCT, New Caledonia Time);
UTC +11 (NFT, Norfolk Time);
UTC +11 (PONT, Pohnpei Standard Time);
UTC +11 (SAKT, Sakhalin Time);
UTC +11 (SBT, Solomon Islands Time);
UTC +11 (SRET, Srednekolymsk Time);
UTC +11 (VLAST, Vladivostok Summer Time);
UTC +11 (VUT, Vanuatu Time);
UTC +12 (ANAST, Anadyr Summer Time);
UTC +12 (ANAT, Anadyr Time);
UTC +12 (FJT, Fiji Time);
UTC +12 (GILT, Gilbert Island Time);
UTC +12 (MAGST, Magadan Summer Time);
UTC +12 (MHT, Marshall Islands Time);
UTC +12 (NFDT, Norfolk Daylight Time);
UTC +12 (NRT, Nauru Time);
UTC +12 (NZST, New Zealand Standard Time);
UTC +12 (PETST, Kamchatka Summer Time);
UTC +12 (PETT, Kamchatka Time);
UTC +12 (TVT, Tuvalu Time);
UTC +12 (WAKT, Wake Time);
UTC +12 (WFT, Wallis and Futuna Time);
UTC +12:45 (CHAST, Chatham Island Standard Time);
UTC +13 (FJST, Fiji Summer Time);
UTC +13 (NZDT, New Zealand Daylight Time);
UTC +13 (PHOT, Phoenix Island Time);
UTC +13 (TKT, Tokelau Time);
UTC +13 (TOT, Tonga Time);
UTC +13 (WST, West Samoa Time);
UTC +13:45 (CHADT, Chatham Island Daylight Time);
UTC +14 (LINT, Line Islands Time);
UTC +14 (TOST, Tonga Summer Time);
